source,url,scraped_at,diffusion_date,validity_date,description,has_wind,has_rain,has_storm,has_sand,timestamp,pressure,date,day,temperature_min,temperature_max,weather_condition,city,temperature_avg,humidity,wind_speed,precipitation,generated_at,precipitation_probability
alerts,https://www.meteo.tn/fr/vigilance-meterologique,2026-04-16T11:57:01.222186,2026-04-16 06:51,2026-04-17 07:00,Des cellules orageuses locales seront accompagnées de pluies isolées le matin avec des vents forts dépassant temporairement 60 km/h en rafales et sous orages. Pas de vigilance particulière Soyez attentifs: Si vous pratiquez des activités sensibles au risque météorologique. Soyez très vigilant: Des phénomènes dangereux sont prévus. Une vigilance absolue s'impose: Des phénomènes dangereux d'intensité exceptionnelle sont prévus. Vent Violent Vent de sable Orages Vague de Chaleur Pluie Inondation Neige Institut National de la Météorologie INM Copyright © 2020. Tous les droits sont réservés| Powered By Inetum,True,True,True,True,,,,,,,,,,,,,,
observations,https://www.meteo.tn/fr/observation-tunisie,,,,,,,,,2026-04-16T11:57:05.156742,1013,,,,,,,,,,,,
forecast,https://www.meteo.tn/fr/previsions-meteo-tunisie,2026-04-16T11:57:08.942004,,,,,,,,,,2026-04-16,Thursday,15,25,Nuageux,,,,,,,
forecast,https://www.meteo.tn/fr/previsions-meteo-tunisie,2026-04-16T11:57:08.942067,,,,,,,,,,2026-04-17,Friday,16,26,Pluie,,,,,,,
forecast,https://www.meteo.tn/fr/previsions-meteo-tunisie,2026-04-16T11:57:08.942117,,,,,,,,,,2026-04-18,Saturday,17,27,Pluie,,,,,,,
forecast,https://www.meteo.tn/fr/previsions-meteo-tunisie,2026-04-16T11:57:08.942165,,,,,,,,,,2026-04-19,Sunday,18,28,Partiellement nuageux,,,,,,,
forecast,https://www.meteo.tn/fr/previsions-meteo-tunisie,2026-04-16T11:57:08.942216,,,,,,,,,,2026-04-20,Monday,19,29,Pluie,,,,,,,
forecast,https://www.meteo.tn/fr/previsions-meteo-tunisie,2026-04-16T11:57:08.942287,,,,,,,,,,2026-04-21,Tuesday,20,30,Nuageux,,,,,,,
forecast,https://www.meteo.tn/fr/previsions-meteo-tunisie,2026-04-16T11:57:08.942342,,,,,,,,,,2026-04-22,Wednesday,21,31,Soleil,,,,,,,
historical_synthetic,,,,,,,,,,,,2025-04-16,,9.1,18.9,Storm,Tunis,15.4,49.0,21.0,14.6,2026-04-16T11:57:30.215800,
historical_synthetic,,,,,,,,,,,,2025-04-16,,10.6,22.8,Cloudy,Sfax,17.2,74.0,7.0,0.0,2026-04-16T11:57:30.215830,
historical_synthetic,,,,,,,,,,,,2025-04-16,,11.5,20.6,Storm,Sousse,12.5,83.0,11.0,0.0,2026-04-16T11:57:30.215837,
historical_synthetic,,,,,,,,,,,,2025-04-16,,7.7,19.0,Rain,Bizerte,12.9,49.0,11.0,8.0,2026-04-16T11:57:30.215846,
historical_synthetic,,,,,,,,,,,,2025-04-16,,13.9,20.2,Partly Cloudy,Gabès,15.8,81.0,16.0,0.0,2026-04-16T11:57:30.215851,
historical_synthetic,,,,,,,,,,,,2025-04-16,,9.8,19.8,Clear,Nabeul,19.9,79.0,16.0,0.0,2026-04-16T11:57:30.215856,
historical_synthetic,,,,,,,,,,,,2025-04-16,,6.3,25.0,Rain,Monastir,11.9,87.0,24.0,0.0,2026-04-16T11:57:30.215862,
historical_synthetic,,,,,,,,,,,,2025-04-17,,11.4,18.4,Cloudy,Tunis,19.1,67.0,11.0,0.0,2026-04-16T11:57:30.215873,
historical_synthetic,,,,,,,,,,,,2025-04-17,,12.2,21.3,Clear,Sfax,14.4,42.0,18.0,0.0,2026-04-16T11:57:30.215879,
historical_synthetic,,,,,,,,,,,,2025-04-17,,13.4,22.5,Partly Cloudy,Sousse,15.8,57.0,5.0,14.8,2026-04-16T11:57:30.215886,
historical_synthetic,,,,,,,,,,,,2025-04-17,,11.3,20.9,Rain,Bizerte,16.6,57.0,16.0,0.0,2026-04-16T11:57:30.215891,
historical_synthetic,,,,,,,,,,,,2025-04-17,,12.2,25.1,Rain,Gabès,15.1,49.0,19.0,0.0,2026-04-16T11:57:30.215896,
historical_synthetic,,,,,,,,,,,,2025-04-17,,9.9,20.1,Partly Cloudy,Nabeul,18.7,47.0,11.0,4.2,2026-04-16T11:57:30.215901,
historical_synthetic,,,,,,,,,,,,2025-04-17,,11.1,23.2,Partly Cloudy,Monastir,17.5,40.0,8.0,0.0,2026-04-16T11:57:30.215905,
historical_synthetic,,,,,,,,,,,,2025-04-18,,13.2,18.5,Clear,Tunis,18.3,43.0,14.0,10.0,2026-04-16T11:57:30.215911,
historical_synthetic,,,,,,,,,,,,2025-04-18,,11.7,25.9,Cloudy,Sfax,20.4,71.0,8.0,0.0,2026-04-16T11:57:30.215916,
historical_synthetic,,,,,,,,,,,,2025-04-18,,8.0,21.1,Cloudy,Sousse,15.4,86.0,13.0,0.0,2026-04-16T11:57:30.215921,
historical_synthetic,,,,,,,,,,,,2025-04-18,,12.8,22.1,Storm,Bizerte,14.7,57.0,13.0,0.0,2026-04-16T11:57:30.215925,
historical_synthetic,,,,,,,,,,,,2025-04-18,,10.7,20.2,Clear,Gabès,15.2,40.0,12.0,0.0,2026-04-16T11:57:30.215930,
historical_synthetic,,,,,,,,,,,,2025-04-18,,11.3,19.6,Clear,Nabeul,14.6,60.0,8.0,1.8,2026-04-16T11:57:30.215936,
historical_synthetic,,,,,,,,,,,,2025-04-18,,7.2,18.6,Partly Cloudy,Monastir,12.4,89.0,13.0,0.0,2026-04-16T11:57:30.215941,
historical_synthetic,,,,,,,,,,,,2025-04-19,,6.5,19.4,Cloudy,Tunis,16.9,87.0,10.0,19.2,2026-04-16T11:57:30.215946,
historical_synthetic,,,,,,,,,,,,2025-04-19,,12.5,23.7,Clear,Sfax,18.2,60.0,5.0,0.0,2026-04-16T11:57:30.215951,
historical_synthetic,,,,,,,,,,,,2025-04-19,,7.9,19.3,Clear,Sousse,14.6,61.0,18.0,0.0,2026-04-16T11:57:30.215956,
historical_synthetic,,,,,,,,,,,,2025-04-19,,11.3,23.8,Storm,Bizerte,13.5,60.0,11.0,0.0,2026-04-16T11:57:30.215960,
