source,url,scraped_at,diffusion_date,validity_date,description,has_wind,has_rain,has_storm,has_sand,timestamp,pressure,date,day,temperature_min,temperature_max,weather_condition,city,temperature_avg,humidity,wind_speed,precipitation,generated_at,precipitation_probability
alerts,https://www.meteo.tn/fr/vigilance-meterologique,2026-02-04T19:46:07.128321,2026-02-04 16:58,2026-02-05 17:00,Des vents assez fort à fort atteignant 80 km/h en rafale et favorisant des phénomènes de sable au Sud. Pas de vigilance particulière Soyez attentifs: Si vous pratiquez des activités sensibles au risque météorologique. Soyez très vigilant: Des phénomènes dangereux sont prévus. Une vigilance absolue s'impose: Des phénomènes dangereux d'intensité exceptionnelle sont prévus. Vent Violent Vent de sable Orages Vague de Chaleur Pluie Inondation Neige Institut National de la Météorologie INM Copyright © 2020. Tous les droits sont réservés| Powered By Inetum,True,True,True,True,,,,,,,,,,,,,,
observations,https://www.meteo.tn/fr/observation-tunisie,,,,,,,,,2026-02-04T19:46:18.995711,988,,,,,,,,,,,,
forecast,https://www.meteo.tn/fr/previsions-meteo-tunisie,2026-02-04T19:46:24.275247,,,,,,,,,,2026-02-04,Wednesday,15,25,Soleil,,,,,,,
forecast,https://www.meteo.tn/fr/previsions-meteo-tunisie,2026-02-04T19:46:24.275345,,,,,,,,,,2026-02-05,Thursday,16,26,Partiellement nuageux,,,,,,,
forecast,https://www.meteo.tn/fr/previsions-meteo-tunisie,2026-02-04T19:46:24.275440,,,,,,,,,,2026-02-06,Friday,17,27,Nuageux,,,,,,,
forecast,https://www.meteo.tn/fr/previsions-meteo-tunisie,2026-02-04T19:46:24.275522,,,,,,,,,,2026-02-07,Saturday,18,28,Nuageux,,,,,,,
forecast,https://www.meteo.tn/fr/previsions-meteo-tunisie,2026-02-04T19:46:24.275597,,,,,,,,,,2026-02-08,Sunday,19,29,Pluie,,,,,,,
forecast,https://www.meteo.tn/fr/previsions-meteo-tunisie,2026-02-04T19:46:24.275670,,,,,,,,,,2026-02-09,Monday,20,30,Soleil,,,,,,,
forecast,https://www.meteo.tn/fr/previsions-meteo-tunisie,2026-02-04T19:46:24.275747,,,,,,,,,,2026-02-10,Tuesday,21,31,Partiellement nuageux,,,,,,,
historical_synthetic,,,,,,,,,,,,2025-02-04,,10.9,23.0,Partly Cloudy,Tunis,11.1,57.0,9.0,10.6,2026-02-04T19:46:52.541189,
historical_synthetic,,,,,,,,,,,,2025-02-04,,9.0,20.5,Clear,Sfax,11.5,59.0,10.0,0.0,2026-02-04T19:46:52.541225,
historical_synthetic,,,,,,,,,,,,2025-02-04,,4.7,18.2,Storm,Sousse,16.8,61.0,15.0,19.5,2026-02-04T19:46:52.541245,
historical_synthetic,,,,,,,,,,,,2025-02-04,,6.5,19.3,Storm,Bizerte,11.8,89.0,24.0,0.0,2026-02-04T19:46:52.541260,
historical_synthetic,,,,,,,,,,,,2025-02-04,,9.9,18.0,Clear,Gabès,8.4,43.0,8.0,0.0,2026-02-04T19:46:52.541275,
historical_synthetic,,,,,,,,,,,,2025-02-04,,9.9,22.4,Rain,Nabeul,9.5,83.0,24.0,0.0,2026-02-04T19:46:52.541291,
historical_synthetic,,,,,,,,,,,,2025-02-04,,10.8,17.3,Rain,Monastir,17.3,43.0,14.0,0.0,2026-02-04T19:46:52.541306,
historical_synthetic,,,,,,,,,,,,2025-02-05,,8.5,22.0,Storm,Tunis,9.9,71.0,6.0,0.0,2026-02-04T19:46:52.541323,
historical_synthetic,,,,,,,,,,,,2025-02-05,,9.5,20.8,Storm,Sfax,17.6,58.0,14.0,5.9,2026-02-04T19:46:52.541342,
historical_synthetic,,,,,,,,,,,,2025-02-05,,10.3,17.5,Rain,Sousse,15.5,89.0,14.0,0.0,2026-02-04T19:46:52.541355,
historical_synthetic,,,,,,,,,,,,2025-02-05,,5.6,17.2,Clear,Bizerte,9.2,58.0,10.0,16.3,2026-02-04T19:46:52.541368,
historical_synthetic,,,,,,,,,,,,2025-02-05,,8.0,16.6,Cloudy,Gabès,15.1,41.0,15.0,16.9,2026-02-04T19:46:52.541381,
historical_synthetic,,,,,,,,,,,,2025-02-05,,8.6,18.6,Clear,Nabeul,17.6,55.0,14.0,0.0,2026-02-04T19:46:52.541393,
historical_synthetic,,,,,,,,,,,,2025-02-05,,6.3,19.7,Clear,Monastir,13.6,47.0,10.0,18.3,2026-02-04T19:46:52.541406,
