source,city,temperature_c,condition,extraction_method,url,scraped_at,batch_number,batch_timestamp,record_number,collection_time,data_type,alert_active,wind_speed_kmh,alert_types,issue_date,valid_until,feels_like_c,humidity_percent,pressure_hpa,wind_speed_mps,wind_direction,weather_main,weather_description,cloud_coverage,visibility_m,timestamp,forecast_hours_ahead,forecast_time,predicted_temp_c,precipitation_chance,confidence,generated_at,error
openweather_api,Gabes,17.98,,,,21:36:24,1,2026-02-04T21:35:59.764326,10,21:36:27,current_weather,,,,,,16.93,42.0,1004.0,10.29,250.0,Clouds,scattered clouds,40.0,5000.0,2026-02-04T21:34:25,,,,,,,
openweather_api,Bizerte,12,,,,21:36:24,1,2026-02-04T21:35:59.764326,11,21:36:27,current_weather,,,,,,11.87,100.0,999.0,1.54,190.0,Rain,light rain,40.0,10000.0,2026-02-04T21:36:24,,,,,,,
openweather_api,Tozeur,13.22,,,,21:36:25,1,2026-02-04T21:35:59.764326,12,21:36:27,current_weather,,,,,,12.58,76.0,1006.0,2.06,270.0,Clouds,overcast clouds,89.0,10000.0,2026-02-04T21:36:05,,,,,,,
openweather_api,Tunis,16.5,,,,21:36:25,1,2026-02-04T21:35:59.764326,13,21:36:27,current_weather,,,,,,15.38,45.0,1005.0,8.37,254.0,Clouds,overcast clouds,100.0,10000.0,2026-02-04T21:34:44,,,,,,,
openweather_api,Sousse,15.88,,,,21:36:26,1,2026-02-04T21:35:59.764326,14,21:36:27,current_weather,,,,,,14.96,55.0,1001.0,8.75,230.0,Clouds,scattered clouds,40.0,8000.0,2026-02-04T21:34:24,,,,,,,
openweather_api,Mahdia,15.11,,,,21:36:26,1,2026-02-04T21:35:59.764326,15,21:36:27,current_weather,,,,,,14.16,57.0,1002.0,12.79,239.0,Clouds,overcast clouds,100.0,10000.0,2026-02-04T21:34:53,,,,,,,
openweather_api,Tunis,16.5,,,,21:37:33,2,2026-02-04T21:37:20.100200,25,21:37:35,current_weather,,,,,,15.38,45.0,1005.0,8.37,254.0,Clouds,overcast clouds,100.0,10000.0,2026-02-04T21:34:44,,,,,,,
openweather_api,Bizerte,12,,,,21:37:33,2,2026-02-04T21:37:20.100200,27,21:37:35,current_weather,,,,,,11.87,100.0,999.0,1.54,190.0,Rain,light rain,40.0,10000.0,2026-02-04T21:36:24,,,,,,,
openweather_api,Nabeul,14.56,,,,21:37:34,2,2026-02-04T21:37:20.100200,28,21:37:35,current_weather,,,,,,13.87,69.0,1000.0,5.71,253.0,Clouds,overcast clouds,92.0,10000.0,2026-02-04T21:37:33,,,,,,,
openweather_api,Sousse,15.88,,,,21:37:34,2,2026-02-04T21:37:20.100200,30,21:37:35,current_weather,,,,,,14.96,55.0,1001.0,8.75,230.0,Clouds,scattered clouds,40.0,8000.0,2026-02-04T21:34:24,,,,,,,
