source,city,temperature_c,condition,extraction_method,url,scraped_at,batch_number,batch_timestamp,record_number,collection_time,data_type,alert_active,wind_speed_kmh,alert_types,issue_date,valid_until,feels_like_c,humidity_percent,pressure_hpa,wind_speed_mps,wind_direction,weather_main,weather_description,cloud_coverage,visibility_m,timestamp,forecast_hours_ahead,forecast_time,predicted_temp_c,precipitation_chance,confidence,generated_at,error
bbc_weather,Tunis,12,Unknown,fallback,https://www.bbc.com/weather/2464470,21:36:00,1,2026-02-04T21:35:59.764326,1,21:36:27,,,,,,,,,,,,,,,,,,,,,,,
bbc_weather,Sfax,19,Unknown,generated,https://www.bbc.com/weather/2467466,21:36:02,1,2026-02-04T21:35:59.764326,2,21:36:27,,,,,,,,,,,,,,,,,,,,,,,
bbc_weather,Sousse,13,Unknown,fallback,https://www.bbc.com/weather/2464915,21:36:04,1,2026-02-04T21:35:59.764326,3,21:36:27,,,,,,,,,,,,,,,,,,,,,,,
bbc_weather,Bizerte,25,Unknown,generated,https://www.bbc.com/weather/2472776,21:36:06,1,2026-02-04T21:35:59.764326,4,21:36:27,,,,,,,,,,,,,,,,,,,,,,,
bbc_weather,Gabes,21,Unknown,generated,https://www.bbc.com/weather/2473496,21:36:08,1,2026-02-04T21:35:59.764326,5,21:36:27,,,,,,,,,,,,,,,,,,,,,,,
bbc_weather,Kairouan,12,Unknown,generated,https://www.bbc.com/weather/2470088,21:36:10,1,2026-02-04T21:35:59.764326,6,21:36:27,,,,,,,,,,,,,,,,,,,,,,,
bbc_weather,Nabeul,23,Unknown,generated,https://www.bbc.com/weather/2468562,21:36:12,1,2026-02-04T21:35:59.764326,7,21:36:27,,,,,,,,,,,,,,,,,,,,,,,
bbc_weather,Monastir,15,Unknown,fallback,https://www.bbc.com/weather/2468925,21:36:15,1,2026-02-04T21:35:59.764326,8,21:36:27,,,,,,,,,,,,,,,,,,,,,,,
meteo_tn,,,,,https://www.meteo.tn/fr/vigilance-meterologique,21:36:23,1,2026-02-04T21:35:59.764326,9,21:36:27,weather_alert,True,80,"sand_storm, rain, storm, wind",2026-02-04 16:58,2026-02-05 17:00,,,,,,,,,,,,,,,,,
openweather_api,Gabes,17.98,,,,21:36:24,1,2026-02-04T21:35:59.764326,10,21:36:27,current_weather,,,,,,16.93,42.0,1004.0,10.29,250.0,Clouds,scattered clouds,40.0,5000.0,2026-02-04T21:34:25,,,,,,,
openweather_api,Bizerte,12,,,,21:36:24,1,2026-02-04T21:35:59.764326,11,21:36:27,current_weather,,,,,,11.87,100.0,999.0,1.54,190.0,Rain,light rain,40.0,10000.0,2026-02-04T21:36:24,,,,,,,
openweather_api,Tozeur,13.22,,,,21:36:25,1,2026-02-04T21:35:59.764326,12,21:36:27,current_weather,,,,,,12.58,76.0,1006.0,2.06,270.0,Clouds,overcast clouds,89.0,10000.0,2026-02-04T21:36:05,,,,,,,
openweather_api,Tunis,16.5,,,,21:36:25,1,2026-02-04T21:35:59.764326,13,21:36:27,current_weather,,,,,,15.38,45.0,1005.0,8.37,254.0,Clouds,overcast clouds,100.0,10000.0,2026-02-04T21:34:44,,,,,,,
openweather_api,Sousse,15.88,,,,21:36:26,1,2026-02-04T21:35:59.764326,14,21:36:27,current_weather,,,,,,14.96,55.0,1001.0,8.75,230.0,Clouds,scattered clouds,40.0,8000.0,2026-02-04T21:34:24,,,,,,,
openweather_api,Mahdia,15.11,,,,21:36:26,1,2026-02-04T21:35:59.764326,15,21:36:27,current_weather,,,,,,14.16,57.0,1002.0,12.79,239.0,Clouds,overcast clouds,100.0,10000.0,2026-02-04T21:34:53,,,,,,,
bbc_weather,Tunis,12,Unknown,fallback,https://www.bbc.com/weather/2464470,21:37:20,2,2026-02-04T21:37:20.100200,16,21:37:35,,,,,,,,,,,,,,,,,,,,,,,
bbc_weather,Sfax,20,Unknown,generated,https://www.bbc.com/weather/2467466,21:37:22,2,2026-02-04T21:37:20.100200,17,21:37:35,,,,,,,,,,,,,,,,,,,,,,,
bbc_weather,Sousse,13,Unknown,fallback,https://www.bbc.com/weather/2464915,21:37:23,2,2026-02-04T21:37:20.100200,18,21:37:35,,,,,,,,,,,,,,,,,,,,,,,
bbc_weather,Bizerte,24,Unknown,generated,https://www.bbc.com/weather/2472776,21:37:24,2,2026-02-04T21:37:20.100200,19,21:37:35,,,,,,,,,,,,,,,,,,,,,,,
bbc_weather,Gabes,18,Unknown,generated,https://www.bbc.com/weather/2473496,21:37:26,2,2026-02-04T21:37:20.100200,20,21:37:35,,,,,,,,,,,,,,,,,,,,,,,
